ID,Region,InstanceFamily,InstanceType,Price (USD/h),vCPU,Memory,Storage,OS,Network
1,Asia Pacific (Sydney),Storage optimized,d3.4xlarge,2.504,16,128,12 x 2000 HDD,Linux,Up to 15 Gigabit
2,Asia Pacific (Sydney),Storage optimized,i3.metal,5.984,72,512,8 x 1900 NVMe SSD,Linux,25 Gigabit
3,Asia Pacific (Sydney),Compute optimized,c6i.xlarge,0.222,4,8,EBS only,Linux,Up to 12500 Megabit
4,Asia Pacific (Sydney),Compute optimized,c7g.4xlarge,0.7549,16,32,EBS only,Linux,Up to 15 Gigabit
5,Asia Pacific (Sydney),Compute optimized,c6a.2xlarge,0.3996,8,16,EBS only,Linux,Up to 12500 Megabit
6,Asia Pacific (Sydney),Compute optimized,c5d.large,0.126,2,4,1 x 50 NVMe SSD,Linux,Up to 10 Gigabit
7,Asia Pacific (Sydney),General purpose,a1.2xlarge,0.2664,8,16,EBS only,Linux,Up to 10 Gigabit
8,Asia Pacific (Sydney),Memory optimized,x2iedn.xlarge,1.20881,4,128,1 x 118 NVMe SSD,Linux,Up to 25 Gigabit
9,Asia Pacific (Sydney),Compute optimized,c7g.large,0.0944,2,4,EBS only,Linux,Up to 12500 Megabit
10,Asia Pacific (Sydney),Memory optimized,r6id.12xlarge,4.176,48,384,2 x 1425 SSD,Linux,18750 Megabit
11,Asia Pacific (Sydney),Memory optimized,r5dn.metal,9.792,96,768,4 x 900 NVMe SSD,Linux,100 Gigabit
12,Asia Pacific (Sydney),GPU instance,p2.8xlarge,12.336,32,488,EBS only,Linux,10 Gigabit
13,Asia Pacific (Sydney),Compute optimized,c6a.4xlarge,0.7992,16,32,EBS only,Linux,Up to 12500 Megabit
14,Asia Pacific (Sydney),Compute optimized,c5d.12xlarge,3.024,48,96,2 x 900 NVMe SSD,Linux,12 Gigabit
15,Asia Pacific (Sydney),FPGA Instances,f1.4xlarge,3.962,16,244,1 x 940 NVMe SSD,Linux,10 Gigabit
16,Asia Pacific (Sydney),Compute optimized,c6i.24xlarge,5.328,96,192,EBS only,Linux,37500 Megabit
17,Asia Pacific (Sydney),Compute optimized,c6id.12xlarge,3.1752,48,96,2 x 1425 SSD,Linux,18750 Megabit
18,Asia Pacific (Sydney),Compute optimized,c7g.2xlarge,0.3774,8,16,EBS only,Linux,Up to 15 Gigabit
19,Asia Pacific (Sydney),Compute optimized,c5n.2xlarge,0.564,8,21,EBS only,Linux,Up to 25 Gigabit
20,Asia Pacific (Sydney),Compute optimized,c4.2xlarge,0.522,8,15,EBS only,Linux,High
21,Asia Pacific (Sydney),Memory optimized,r6g.16xlarge,3.8656,64,512,EBS only,Linux,25 Gigabit
22,Asia Pacific (Sydney),Memory optimized,r5ad.12xlarge,3.816,48,384,2 x 900 NVMe SSD,Linux,10 Gigabit
23,Asia Pacific (Sydney),Memory optimized,r5ad.24xlarge,7.632,96,768,4 x 900 NVMe SSD,Linux,20 Gigabit
